"A"	"B"	"type"
"GEMIN4"	"GTF2H4"	"Negative Genetic"
"GEMIN4"	"LEO1"	"Negative Genetic"
"GEMIN4"	"MED14"	"Negative Genetic"
"GEMIN4"	"MED23"	"Negative Genetic"
"GEMIN4"	"MRPS16"	"Positive Genetic"
"GEMIN4"	"RPL23"	"Positive Genetic"
"GEMIN4"	"RPL24"	"Positive Genetic"
"GEMIN4"	"SNRPD3"	"Negative Genetic"
"GEMIN4"	"TAF2"	"Positive Genetic"
"GEMIN4"	"TRA2B"	"Positive Genetic"
"GEMIN4"	"TTI2"	"Positive Genetic"
"GFER"	"HUS1"	"Negative Genetic"
"GFER"	"KDM1A"	"Positive Genetic"
"GFER"	"MARS"	"Positive Genetic"
"GFER"	"MINOS1-NBL1"	"Negative Genetic"
"GFER"	"MRPL19"	"Positive Genetic"
"GFER"	"NACA"	"Positive Genetic"
"GFER"	"NUP43"	"Positive Genetic"
"GFER"	"POLR3B"	"Positive Genetic"
"GFER"	"PPWD1"	"Positive Genetic"
"GFER"	"ROMO1"	"Negative Genetic"
"GFER"	"TTC4"	"Positive Genetic"
"GFER"	"XRN2"	"Negative Genetic"
"GFER"	"ZCCHC9"	"Positive Genetic"
"GFER"	"ZNF598"	"Negative Genetic"
"GFI1B"	"GFI1B"	"Positive Genetic"
"GFI1B"	"GINS4"	"Negative Genetic"
"GFI1B"	"GTF2H4"	"Negative Genetic"
"GFI1B"	"HBS1L"	"Negative Genetic"
"GFI1B"	"INTS5"	"Negative Genetic"
"GFI1B"	"LEO1"	"Negative Genetic"
"GFI1B"	"MED14"	"Negative Genetic"
"GFI1B"	"MED9"	"Negative Genetic"
"GFI1B"	"MINOS1"	"Negative Genetic"
"GFI1B"	"MRPL36"	"Negative Genetic"
"GFI1B"	"MTOR"	"Negative Genetic"
"GFI1B"	"NDUFA8"	"Negative Genetic"
"GFI1B"	"PAXBP1"	"Negative Genetic"
"GFI1B"	"PELO"	"Negative Genetic"
"GFI1B"	"REXO2"	"Negative Genetic"
"GFI1B"	"RPL10"	"Negative Genetic"
"GFI1B"	"RPL36A"	"Positive Genetic"
"GFI1B"	"RRM1"	"Negative Genetic"
"GFI1B"	"SLC35A1"	"Positive Genetic"
"GFI1B"	"SNRPB"	"Negative Genetic"
"GFI1B"	"SNRPD3"	"Negative Genetic"
"GFI1B"	"TAF2"	"Negative Genetic"
"GFI1B"	"TIMELESS"	"Negative Genetic"
"GFI1B"	"TIPIN"	"Negative Genetic"
"GFI1B"	"YTHDC1"	"Negative Genetic"
"GFI1B"	"ZNF511"	"Negative Genetic"
"GINS4"	"MED14"	"Negative Genetic"
"GINS4"	"MED23"	"Negative Genetic"
"GINS4"	"METAP2"	"Negative Genetic"
"GINS4"	"MRPL13"	"Negative Genetic"
"GINS4"	"MRPS11"	"Negative Genetic"
"GINS4"	"NUP54"	"Negative Genetic"
"GINS4"	"PPP2R1A"	"Negative Genetic"
"GINS4"	"PTTG1"	"Negative Genetic"
"GINS4"	"RPL36A"	"Negative Genetic"
"GNL2"	"GNL2"	"Negative Genetic"
"GNL2"	"LEO1"	"Negative Genetic"
"GNL2"	"MPHOSPH6"	"Negative Genetic"
"GNL2"	"NDUFA9"	"Negative Genetic"
"GNL2"	"RPL35"	"Positive Genetic"
"GNL2"	"SNAPC1"	"Positive Genetic"
"GNL2"	"WDR61"	"Negative Genetic"
"GNL2"	"XPO1"	"Positive Genetic"
"GNL3L"	"GNL3L"	"Positive Genetic"
"GNL3L"	"GTF2H1"	"Positive Genetic"
"GNL3L"	"CEP295"	"Negative Genetic"
"GNL3L"	"LARS"	"Negative Genetic"
"GNL3L"	"METTL17"	"Negative Genetic"
"GNL3L"	"NCAPD2"	"Negative Genetic"
"GNL3L"	"NOLC1"	"Negative Genetic"
"GNL3L"	"NUP43"	"Negative Genetic"
"GNL3L"	"NUP54"	"Negative Genetic"
"GNL3L"	"PAFAH1B1"	"Negative Genetic"
"GNL3L"	"PPP2R1A"	"Negative Genetic"
"GNL3L"	"PSMD4"	"Positive Genetic"
"GNL3L"	"RAE1"	"Negative Genetic"
"GNL3L"	"SKA3"	"Negative Genetic"
"GNL3L"	"SRSF7"	"Negative Genetic"
"GNL3L"	"TRA2B"	"Positive Genetic"
"GNL3L"	"VPS72"	"Negative Genetic"
"GNL3L"	"ZMAT5"	"Negative Genetic"
"GNL3L"	"ZNF830"	"Negative Genetic"
"GNL3L"	"ZNRD1"	"Negative Genetic"
"GNPAT"	"GNPAT"	"Positive Genetic"
"GNPAT"	"UBA2"	"Positive Genetic"
"GOLT1B"	"GOLT1B"	"Negative Genetic"
"GOLT1B"	"LEO1"	"Negative Genetic"
"GOLT1B"	"NUDC"	"Negative Genetic"
"GOLT1B"	"NUP54"	"Negative Genetic"
"GOLT1B"	"PPP2R1A"	"Negative Genetic"
"GOLT1B"	"SEC22B"	"Negative Genetic"
"GOLT1B"	"UBA2"	"Positive Genetic"
"GOLT1B"	"USE1"	"Negative Genetic"
"GOLT1B"	"WDR61"	"Negative Genetic"
"GPN3"	"LEO1"	"Negative Genetic"
"GPN3"	"POLR3B"	"Negative Genetic"
"GPN3"	"UBA2"	"Positive Genetic"
"GPN3"	"VPS29"	"Negative Genetic"
"GPN3"	"WDR61"	"Negative Genetic"
"GTF2E1"	"GTF2E1"	"Negative Genetic"
"GTF2E1"	"KCTD10"	"Negative Genetic"
"GTF2E1"	"MED17"	"Negative Genetic"
"GTF2E1"	"MZT1"	"Positive Genetic"
"GTF2E1"	"NDUFB4"	"Negative Genetic"
"GTF2E1"	"NUDC"	"Positive Genetic"
"GTF2E1"	"PFAS"	"Positive Genetic"
"GTF2E1"	"PPIE"	"Positive Genetic"
"GTF2E1"	"PPWD1"	"Positive Genetic"
"GTF2E1"	"PSMB6"	"Positive Genetic"
"GTF2E1"	"RBM22"	"Positive Genetic"
"GTF2E1"	"RPL13"	"Positive Genetic"
"GTF2E1"	"RPL23"	"Positive Genetic"
"GTF2E1"	"RPP38"	"Positive Genetic"
"GTF2E1"	"RRM1"	"Positive Genetic"
"GTF2E1"	"SLC39A9"	"Positive Genetic"
"GTF2E1"	"SNIP1"	"Positive Genetic"
"GTF2E1"	"SNRPD3"	"Positive Genetic"
"GTF2E1"	"UBA2"	"Positive Genetic"
"GTF2E1"	"YTHDC1"	"Positive Genetic"
"GTF2H1"	"PHF5A"	"Positive Genetic"
"GTF2H1"	"RAD51"	"Negative Genetic"
"GTF2H1"	"RPL35"	"Positive Genetic"
"GTF2H1"	"VPS29"	"Negative Genetic"
"GTF2H4"	"GTF2H4"	"Positive Genetic"
"GTF2H4"	"HUS1"	"Negative Genetic"
"GTF2H4"	"KDM1A"	"Positive Genetic"
"GTF2H4"	"KIF14"	"Negative Genetic"
"GTF2H4"	"LEO1"	"Negative Genetic"
"GTF2H4"	"MED14"	"Negative Genetic"
"GTF2H4"	"MED17"	"Negative Genetic"
"GTF2H4"	"MINOS1-NBL1"	"Negative Genetic"
"GTF2H4"	"MRPL27"	"Negative Genetic"
"GTF2H4"	"MRPS10"	"Negative Genetic"
"GTF2H4"	"MRPS21"	"Negative Genetic"
"GTF2H4"	"MZT1"	"Negative Genetic"
"GTF2H4"	"NFYC"	"Positive Genetic"
"GTF2H4"	"NIP7"	"Positive Genetic"
"GTF2H4"	"RBM17"	"Negative Genetic"
"GTF2H4"	"RNGTT"	"Negative Genetic"
"GTF2H4"	"RPL24"	"Positive Genetic"
"GTF2H4"	"RPLP2"	"Negative Genetic"
"GTF2H4"	"SCO1"	"Negative Genetic"
"GTF2H4"	"SFXN1"	"Negative Genetic"
"GTF2H4"	"SNAPC1"	"Negative Genetic"
"GTF2H4"	"TCOF1"	"Negative Genetic"
"GTF2H4"	"WDR70"	"Negative Genetic"
"GTF2H4"	"XRN2"	"Positive Genetic"
"GTF3C3"	"INTS5"	"Negative Genetic"
"GTF3C3"	"POLR3B"	"Negative Genetic"
"GTPBP4"	"GTPBP4"	"Negative Genetic"
"GTPBP4"	"LARS"	"Positive Genetic"
"GTPBP4"	"MRPS18B"	"Positive Genetic"
"GTPBP4"	"PITRM1"	"Positive Genetic"
"GTPBP4"	"RPP30"	"Negative Genetic"
"GTPBP4"	"SNAPC1"	"Positive Genetic"
"GTPBP4"	"XRN2"	"Negative Genetic"
"HBS1L"	"HBS1L"	"Negative Genetic"
"HBS1L"	"INTS5"	"Negative Genetic"
"HBS1L"	"PSMD1"	"Negative Genetic"
"HBS1L"	"WDR61"	"Negative Genetic"
"HCCS"	"HCCS"	"Negative Genetic"
"HCCS"	"NDUFA9"	"Positive Genetic"
"HCCS"	"NDUFB1"	"Positive Genetic"
"HSCB"	"HSCB"	"Negative Genetic"
"HSCB"	"LIAS"	"Negative Genetic"
"HSCB"	"PITRM1"	"Positive Genetic"
"HSCB"	"PMPCB"	"Positive Genetic"
"HSCB"	"TTC4"	"Positive Genetic"
"HUS1"	"LEO1"	"Negative Genetic"
"HUS1"	"MCM4"	"Negative Genetic"
"HUS1"	"METAP2"	"Negative Genetic"
"HUS1"	"MRPL11"	"Negative Genetic"
"HUS1"	"MRPL22"	"Negative Genetic"
"HUS1"	"MTBP"	"Positive Genetic"
"HUS1"	"NFYC"	"Negative Genetic"
"HUS1"	"NUDC"	"Negative Genetic"
"HUS1"	"NUP54"	"Negative Genetic"
"HUS1"	"POLA1"	"Negative Genetic"
"HUS1"	"POLD1"	"Negative Genetic"
"HUS1"	"POLD3"	"Negative Genetic"
"HUS1"	"POLE"	"Negative Genetic"
"HUS1"	"POLE2"	"Negative Genetic"
"HUS1"	"PPP2R1A"	"Negative Genetic"
"HUS1"	"PRIM2"	"Negative Genetic"
"HUS1"	"PTTG1"	"Negative Genetic"
"HUS1"	"RAD51"	"Negative Genetic"
"HUS1"	"RFC4"	"Negative Genetic"
"HUS1"	"RFC5"	"Negative Genetic"
"HUS1"	"RPA3"	"Negative Genetic"
"HUS1"	"RRM1"	"Negative Genetic"
"HUS1"	"RTF1"	"Negative Genetic"
"HUS1"	"SDHC"	"Negative Genetic"
"HUS1"	"SGOL1"	"Negative Genetic"
"HUS1"	"TIMELESS"	"Negative Genetic"
"HUS1"	"TIPIN"	"Negative Genetic"
"HUS1"	"TRA2B"	"Negative Genetic"
"HUS1"	"UBA2"	"Negative Genetic"
"HUS1"	"UMPS"	"Negative Genetic"
"HUS1"	"WDR61"	"Negative Genetic"
"HUS1"	"WDR7"	"Negative Genetic"
"HUS1"	"XRN2"	"Positive Genetic"
"HUS1"	"ZNF574"	"Negative Genetic"
"HYPK"	"MFAP1"	"Negative Genetic"
"HYPK"	"PTTG1"	"Negative Genetic"
"IARS"	"IARS"	"Negative Genetic"
"IARS"	"LEO1"	"Negative Genetic"
"ICT1"	"MED24"	"Negative Genetic"
"ICT1"	"MINOS1"	"Positive Genetic"
"ICT1"	"MINOS1-NBL1"	"Positive Genetic"
"ICT1"	"TAZ"	"Negative Genetic"
"ICT1"	"TIMELESS"	"Negative Genetic"
"ICT1"	"TIMM23B"	"Negative Genetic"
"ICT1"	"VPS72"	"Positive Genetic"
"IMPDH2"	"IMPDH2"	"Negative Genetic"
"IMPDH2"	"PTTG1"	"Negative Genetic"
"IMPDH2"	"SKA3"	"Negative Genetic"
"IMPDH2"	"SNAPC1"	"Positive Genetic"
"INTS3"	"INTS3"	"Negative Genetic"
"INTS3"	"LEO1"	"Negative Genetic"
"INTS3"	"NCAPD2"	"Negative Genetic"
"INTS3"	"SSB"	"Negative Genetic"
"INTS3"	"XRN2"	"Negative Genetic"
"INTS5"	"LEO1"	"Negative Genetic"
"INTS5"	"LUC7L3"	"Negative Genetic"
"INTS5"	"MASTL"	"Negative Genetic"
"INTS5"	"MAT2A"	"Negative Genetic"
"INTS5"	"MED1"	"Positive Genetic"
"INTS5"	"MED14"	"Negative Genetic"
"INTS5"	"MED22"	"Positive Genetic"
"INTS5"	"MED23"	"Negative Genetic"
"INTS5"	"MED28"	"Negative Genetic"
"INTS5"	"NCAPD2"	"Negative Genetic"
"INTS5"	"NCBP1"	"Negative Genetic"
"INTS5"	"NDUFB2"	"Negative Genetic"
"INTS5"	"NFYC"	"Negative Genetic"
"INTS5"	"NOL8"	"Negative Genetic"
"INTS5"	"OGFOD1"	"Negative Genetic"
"INTS5"	"POLR2K"	"Negative Genetic"
"INTS5"	"PPP2R1A"	"Positive Genetic"
"INTS5"	"PSMD1"	"Negative Genetic"
"INTS5"	"PSMD12"	"Negative Genetic"
"INTS5"	"PSMD4"	"Positive Genetic"
"INTS5"	"RBM25"	"Negative Genetic"
"INTS5"	"ROMO1"	"Positive Genetic"
"INTS5"	"RPL35"	"Negative Genetic"
"INTS5"	"SLC39A9"	"Negative Genetic"
"INTS5"	"SNRPD3"	"Negative Genetic"
"INTS5"	"SNRPG"	"Negative Genetic"
"INTS5"	"TAF2"	"Positive Genetic"
"INTS5"	"TBCB"	"Negative Genetic"
"INTS5"	"TUBGCP4"	"Negative Genetic"
"INTS5"	"UBA2"	"Positive Genetic"
"INTS5"	"WDR61"	"Negative Genetic"
"INTS5"	"WDR7"	"Negative Genetic"
"INTS5"	"WDR70"	"Negative Genetic"
"INTS5"	"XPO1"	"Negative Genetic"
"KARS"	"LEO1"	"Negative Genetic"
"KARS"	"NUDC"	"Positive Genetic"
"KARS"	"WDR61"	"Negative Genetic"
"KCTD10"	"KCTD10"	"Positive Genetic"
"KCTD10"	"KIF14"	"Negative Genetic"
"KCTD10"	"LUC7L3"	"Negative Genetic"
"KCTD10"	"MINOS1-NBL1"	"Negative Genetic"
"KCTD10"	"MRPL22"	"Negative Genetic"
"KCTD10"	"MRPL36"	"Negative Genetic"
"KCTD10"	"MRPL37"	"Negative Genetic"
"KCTD10"	"MRPL42"	"Negative Genetic"
"KCTD10"	"MRPL46"	"Negative Genetic"
"KCTD10"	"MRPS10"	"Negative Genetic"
"KCTD10"	"MRPS21"	"Negative Genetic"
"KCTD10"	"MRPS5"	"Negative Genetic"
"KCTD10"	"NDUFB1"	"Negative Genetic"
"KCTD10"	"NDUFB4"	"Negative Genetic"
"KCTD10"	"PAFAH1B1"	"Negative Genetic"
"KCTD10"	"GATB"	"Negative Genetic"
"KCTD10"	"PPCS"	"Negative Genetic"
"KCTD10"	"PPP2R1A"	"Negative Genetic"
"KCTD10"	"PSMD6"	"Negative Genetic"
"KCTD10"	"PTCD1"	"Negative Genetic"
"KCTD10"	"TMEM261"	"Negative Genetic"
"KCTD10"	"UBA3"	"Negative Genetic"
"KDM1A"	"KDM1A"	"Negative Genetic"
"KDM1A"	"LEO1"	"Negative Genetic"
"KDM1A"	"MBTPS2"	"Positive Genetic"
"KDM1A"	"NDUFA9"	"Negative Genetic"
"KDM1A"	"RPL24"	"Positive Genetic"
"KDM1A"	"SNAPC1"	"Positive Genetic"
"KDM1A"	"UBA2"	"Positive Genetic"
"KDM1A"	"XPO1"	"Positive Genetic"
"KDM1A"	"ZNHIT6"	"Positive Genetic"
"CEP295"	"LUC7L3"	"Negative Genetic"
"CEP295"	"MFAP1"	"Negative Genetic"
"CEP295"	"PAFAH1B1"	"Negative Genetic"
"CEP295"	"PWP1"	"Negative Genetic"
"CEP295"	"RPL28"	"Negative Genetic"
"CEP295"	"SEC22B"	"Negative Genetic"
"CEP295"	"SGOL1"	"Negative Genetic"
"CEP295"	"ZNF574"	"Negative Genetic"
"KIF11"	"PAFAH1B1"	"Positive Genetic"
"KIF14"	"MBTPS2"	"Negative Genetic"
"KIF14"	"MINOS1-NBL1"	"Negative Genetic"
"KIF14"	"MRPS11"	"Negative Genetic"
"KIF14"	"NCAPD2"	"Negative Genetic"
"KIF14"	"NSMCE1"	"Negative Genetic"
"KIF14"	"PELO"	"Negative Genetic"
"KIF14"	"PPP2R1A"	"Negative Genetic"
"KIF14"	"RPL28"	"Negative Genetic"
"KIF14"	"RPL36A"	"Negative Genetic"
"KIF14"	"SNRPG"	"Positive Genetic"
"KIF14"	"SRSF7"	"Negative Genetic"
"KIF14"	"TCOF1"	"Negative Genetic"
"KIF14"	"ZNF574"	"Negative Genetic"
"LARS"	"LARS"	"Negative Genetic"
"LARS"	"LEO1"	"Negative Genetic"
"LARS"	"MASTL"	"Negative Genetic"
"LARS"	"MCM3AP"	"Negative Genetic"
"LARS"	"MRPL32"	"Positive Genetic"
"LARS"	"PPP2R1A"	"Negative Genetic"
"LARS"	"PSMD4"	"Positive Genetic"
"LARS"	"SNAPC1"	"Positive Genetic"
"LARS"	"TAF2"	"Negative Genetic"
"LARS"	"UBA2"	"Positive Genetic"
"LARS"	"WDR61"	"Negative Genetic"
"LARS2"	"GATB"	"Positive Genetic"
"LARS2"	"TFB1M"	"Positive Genetic"
"LEO1"	"LEO1"	"Positive Genetic"
"LEO1"	"MARS"	"Negative Genetic"
"LEO1"	"MASTL"	"Negative Genetic"
"LEO1"	"MAX"	"Negative Genetic"
"LEO1"	"MINOS1"	"Positive Genetic"
"LEO1"	"MRPL57"	"Positive Genetic"
"LEO1"	"MRPL10"	"Positive Genetic"
"LEO1"	"MRPL16"	"Positive Genetic"
"LEO1"	"MRPL22"	"Positive Genetic"
"LEO1"	"MRPL24"	"Positive Genetic"
"LEO1"	"MRPL27"	"Positive Genetic"
"LEO1"	"MRPL32"	"Positive Genetic"
"LEO1"	"MRPL33"	"Positive Genetic"
"LEO1"	"MRPL36"	"Positive Genetic"
"LEO1"	"MRPL37"	"Positive Genetic"
"LEO1"	"MRPL39"	"Positive Genetic"
"LEO1"	"MRPL43"	"Positive Genetic"
"LEO1"	"MRPS10"	"Positive Genetic"
"LEO1"	"MRPS14"	"Positive Genetic"
"LEO1"	"MRPS16"	"Positive Genetic"
"LEO1"	"MRPS18A"	"Positive Genetic"
"LEO1"	"MRPS21"	"Positive Genetic"
"LEO1"	"MRPS23"	"Positive Genetic"
"LEO1"	"MRPS25"	"Positive Genetic"
"LEO1"	"MRPS28"	"Positive Genetic"
"LEO1"	"MRPS35"	"Positive Genetic"
"LEO1"	"MRPS5"	"Positive Genetic"
"LEO1"	"MRPS9"	"Positive Genetic"
"LEO1"	"MTPAP"	"Positive Genetic"
"LEO1"	"NAMPT"	"Negative Genetic"
"LEO1"	"NAT10"	"Negative Genetic"
"LEO1"	"NDUFA2"	"Negative Genetic"
"LEO1"	"NDUFA8"	"Positive Genetic"
"LEO1"	"NDUFA9"	"Positive Genetic"
"LEO1"	"NDUFB1"	"Negative Genetic"
"LEO1"	"NFYC"	"Negative Genetic"
"LEO1"	"NUDC"	"Negative Genetic"
"LEO1"	"NUP43"	"Negative Genetic"
"LEO1"	"NUP54"	"Negative Genetic"
"LEO1"	"OGFOD1"	"Negative Genetic"
"LEO1"	"OPA1"	"Positive Genetic"
"LEO1"	"ORAOV1"	"Negative Genetic"
"LEO1"	"PDCD7"	"Negative Genetic"
"LEO1"	"PDRG1"	"Negative Genetic"
"LEO1"	"GATB"	"Positive Genetic"
"LEO1"	"PFAS"	"Negative Genetic"
"LEO1"	"PGD"	"Negative Genetic"
"LEO1"	"PGK1"	"Negative Genetic"
"LEO1"	"PMF1"	"Negative Genetic"
"LEO1"	"PNN"	"Negative Genetic"
"LEO1"	"POLD1"	"Negative Genetic"
"LEO1"	"POLE2"	"Negative Genetic"
"LEO1"	"POLR2K"	"Negative Genetic"
"LEO1"	"PPP2R1A"	"Negative Genetic"
"LEO1"	"PPP2R2A"	"Negative Genetic"
"LEO1"	"PPWD1"	"Negative Genetic"
"LEO1"	"PRIM2"	"Negative Genetic"
"LEO1"	"PSMB7"	"Negative Genetic"
"LEO1"	"PSMC1"	"Negative Genetic"
"LEO1"	"PSMC6"	"Negative Genetic"
"LEO1"	"PSMD1"	"Negative Genetic"
"LEO1"	"PSMD12"	"Negative Genetic"
"LEO1"	"PSMD6"	"Negative Genetic"
"LEO1"	"PTCD1"	"Positive Genetic"
"LEO1"	"RBFA"	"Positive Genetic"
"LEO1"	"RBM17"	"Negative Genetic"
"LEO1"	"RBM25"	"Negative Genetic"
"LEO1"	"REXO2"	"Negative Genetic"
"LEO1"	"RPA3"	"Negative Genetic"
"LEO1"	"RPL11"	"Negative Genetic"
"LEO1"	"RPL24"	"Negative Genetic"
"LEO1"	"RPL27"	"Negative Genetic"
"LEO1"	"RPL3"	"Negative Genetic"
"LEO1"	"RPLP2"	"Positive Genetic"
"LEO1"	"RPP38"	"Negative Genetic"
"LEO1"	"RRM1"	"Negative Genetic"
"LEO1"	"RTF1"	"Negative Genetic"
"LEO1"	"SDHC"	"Negative Genetic"
"LEO1"	"SEC22B"	"Negative Genetic"
"LEO1"	"SKIV2L"	"Positive Genetic"
"LEO1"	"SLC35A1"	"Negative Genetic"
"LEO1"	"SLC7A1"	"Negative Genetic"
"LEO1"	"SLC7A6OS"	"Negative Genetic"
"LEO1"	"SNAPC1"	"Negative Genetic"
"LEO1"	"SRP19"	"Negative Genetic"
"LEO1"	"SRSF7"	"Negative Genetic"
"LEO1"	"SSBP1"	"Positive Genetic"
"LEO1"	"TAZ"	"Positive Genetic"
"LEO1"	"TFB1M"	"Positive Genetic"
"LEO1"	"TIMM23B"	"Positive Genetic"
"LEO1"	"TIPIN"	"Negative Genetic"
"LEO1"	"TSEN2"	"Negative Genetic"
"LEO1"	"UBA2"	"Positive Genetic"
"LEO1"	"UBA3"	"Negative Genetic"
"LEO1"	"UMPS"	"Negative Genetic"
"LEO1"	"USE1"	"Negative Genetic"
"LEO1"	"VPS29"	"Negative Genetic"
"LEO1"	"VPS72"	"Negative Genetic"
"LEO1"	"WDR61"	"Negative Genetic"
"LEO1"	"WDR7"	"Negative Genetic"
"LEO1"	"WDR70"	"Negative Genetic"
"LEO1"	"XPO1"	"Negative Genetic"
"LEO1"	"YTHDC1"	"Negative Genetic"
"LEO1"	"ZNF830"	"Negative Genetic"
"LEO1"	"ZNHIT6"	"Positive Genetic"
"LEO1"	"ZWINT"	"Negative Genetic"
"LIAS"	"LIAS"	"Negative Genetic"
"LIAS"	"MED10"	"Positive Genetic"
"LIAS"	"MED22"	"Positive Genetic"
"LIAS"	"OGFOD1"	"Positive Genetic"
"LIAS"	"PTTG1"	"Negative Genetic"
"LIAS"	"RPL35"	"Positive Genetic"
"LIAS"	"RPLP2"	"Positive Genetic"
"LIAS"	"SEH1L"	"Positive Genetic"
"LIAS"	"SRSF7"	"Positive Genetic"
"LIAS"	"TCOF1"	"Negative Genetic"
"LIAS"	"TUBGCP3"	"Positive Genetic"
"LIAS"	"UBA2"	"Positive Genetic"
"LIAS"	"ZWINT"	"Negative Genetic"
"LONP1"	"LONP1"	"Negative Genetic"
"LONP1"	"MED10"	"Positive Genetic"
"LONP1"	"PITRM1"	"Negative Genetic"
"LUC7L3"	"PPP2R1A"	"Negative Genetic"
"LUC7L3"	"SRSF7"	"Negative Genetic"
"LUC7L3"	"TRNAU1AP"	"Negative Genetic"
"LTN1"	"LTN1"	"Negative Genetic"
"LTN1"	"MCM3AP"	"Positive Genetic"
"LTN1"	"POLE"	"Negative Genetic"
"LTN1"	"SAP18"	"Negative Genetic"
"LTN1"	"SNAPC1"	"Negative Genetic"
"LTN1"	"TUBB"	"Negative Genetic"
"LTN1"	"WDR61"	"Negative Genetic"
"MAPKAP1"	"MAPKAP1"	"Positive Genetic"
"MAPKAP1"	"MINOS1"	"Negative Genetic"
"MAPKAP1"	"MINOS1-NBL1"	"Negative Genetic"
"MAPKAP1"	"MRPL27"	"Negative Genetic"
"MAPKAP1"	"MRPL36"	"Negative Genetic"
"MAPKAP1"	"MRPS21"	"Negative Genetic"
"MAPKAP1"	"MRPS27"	"Negative Genetic"
"MAPKAP1"	"MRPS5"	"Negative Genetic"
"MAPKAP1"	"NDUFA8"	"Negative Genetic"
"MAPKAP1"	"NDUFA9"	"Negative Genetic"
"MAPKAP1"	"NDUFB1"	"Negative Genetic"
"MAPKAP1"	"PTCD1"	"Negative Genetic"
"MAPKAP1"	"RBM17"	"Negative Genetic"
"MAPKAP1"	"SCO1"	"Negative Genetic"
"MAPKAP1"	"SKA3"	"Negative Genetic"
"MAPKAP1"	"SSBP1"	"Negative Genetic"
"MAPKAP1"	"TIMELESS"	"Negative Genetic"
"MAPKAP1"	"TIMM9"	"Negative Genetic"
"MARS"	"PPP2R1A"	"Negative Genetic"
"MARS"	"RPL35"	"Positive Genetic"
"MARS"	"SNAPC1"	"Positive Genetic"
"MARS"	"TCOF1"	"Negative Genetic"
"MASTL"	"MASTL"	"Negative Genetic"
"MASTL"	"PPP2R1A"	"Positive Genetic"
"MASTL"	"PTTG1"	"Negative Genetic"
"MASTL"	"RPL35"	"Negative Genetic"
"MASTL"	"SGOL1"	"Negative Genetic"
"MASTL"	"SRSF7"	"Negative Genetic"
"MASTL"	"TCOF1"	"Negative Genetic"
"MASTL"	"ZNF574"	"Negative Genetic"
"MASTL"	"ZWINT"	"Negative Genetic"
"MAT2A"	"RPL35"	"Positive Genetic"
"MAX"	"MAX"	"Negative Genetic"
"MAX"	"MBTPS2"	"Negative Genetic"
"MAX"	"MED9"	"Positive Genetic"
"MAX"	"METAP2"	"Positive Genetic"
"MAX"	"MRPL36"	"Negative Genetic"
"MAX"	"MTOR"	"Negative Genetic"
"MAX"	"NDUFA8"	"Negative Genetic"
"MAX"	"NDUFB2"	"Negative Genetic"
"MAX"	"PPIE"	"Positive Genetic"
"MAX"	"PSMD6"	"Positive Genetic"
"MAX"	"PSPH"	"Positive Genetic"
"MAX"	"SDHC"	"Positive Genetic"
"MAX"	"SSBP1"	"Negative Genetic"
"MBTPS2"	"MBTPS2"	"Negative Genetic"
"MBTPS2"	"MBTPS2"	"Positive Genetic"
"MBTPS2"	"MED9"	"Negative Genetic"
"MBTPS2"	"MPHOSPH6"	"Positive Genetic"
"MBTPS2"	"MRPL11"	"Positive Genetic"
"MBTPS2"	"MRPL18"	"Positive Genetic"
"MBTPS2"	"NDUFB1"	"Positive Genetic"
"MBTPS2"	"NFYC"	"Negative Genetic"
"MBTPS2"	"NIP7"	"Positive Genetic"
"MBTPS2"	"NUBP1"	"Positive Genetic"
"MBTPS2"	"NUDC"	"Negative Genetic"
"MBTPS2"	"OPA1"	"Positive Genetic"
"MBTPS2"	"POLA1"	"Positive Genetic"
"MBTPS2"	"PPP2R1A"	"Negative Genetic"
"MBTPS2"	"PSMD4"	"Positive Genetic"
"MBTPS2"	"RBBP8"	"Positive Genetic"
"MBTPS2"	"RPL30"	"Negative Genetic"
"MBTPS2"	"RPL35"	"Negative Genetic"
"MBTPS2"	"RPLP2"	"Negative Genetic"
"MBTPS2"	"SLC35A1"	"Negative Genetic"
"MBTPS2"	"TIMM22"	"Positive Genetic"
"MBTPS2"	"TOMM22"	"Negative Genetic"
"MBTPS2"	"TTI2"	"Positive Genetic"
"MBTPS2"	"WDR7"	"Negative Genetic"
"MBTPS2"	"XRN2"	"Positive Genetic"
"MCM3"	"TIMELESS"	"Negative Genetic"
"MCM3"	"UBA2"	"Positive Genetic"
"MCM3AP"	"NUP43"	"Negative Genetic"
"MCM3AP"	"PDCD7"	"Positive Genetic"
"MCM3AP"	"PELO"	"Negative Genetic"
"MCM3AP"	"PNN"	"Negative Genetic"
"MCM3AP"	"RPL36A"	"Negative Genetic"
"MCM3AP"	"SEC22B"	"Negative Genetic"
"MCM3AP"	"TBCB"	"Positive Genetic"
"MCM3AP"	"TCF25"	"Positive Genetic"
"MCM3AP"	"XRN2"	"Negative Genetic"
"MCM3AP"	"YTHDC1"	"Negative Genetic"
"MCM3AP"	"ZNF830"	"Negative Genetic"
"MCM4"	"TIPIN"	"Negative Genetic"
"MED1"	"MED1"	"Negative Genetic"
"MED1"	"MED10"	"Negative Genetic"
"MED1"	"MED14"	"Negative Genetic"
"MED1"	"MED23"	"Negative Genetic"
"MED1"	"MED24"	"Negative Genetic"
